order,country,country_code,city,slug,topic,status,run_date
1,일본,japan,오사카,osaka,여행 중 갑자기 아프거나 다쳤을 때,대기,
2,베트남,vietnam,다낭,danang,여행 중 갑자기 아프거나 다쳤을 때,대기,
3,베트남,vietnam,나트랑,nhatrang,여행 중 갑자기 아프거나 다쳤을 때,대기,
4,필리핀,philippines,세부,cebu,여행 중 갑자기 아프거나 다쳤을 때,대기,
5,일본,japan,도쿄,tokyo,여행 중 갑자기 아프거나 다쳤을 때,대기,
